#time	strain	shear stress
#s		Pa
0	0	300.0
5.4400E-4	5.8920E-4	300.0
1.5680E-3	7.3476E-3	300.0
2.5920E-3	0.025621	300.0
3.6160E-3	0.054236	300.0
4.6400E-3	0.089409	300.0
5.6640E-3	0.12615	300.0
6.6880E-3	0.15922	300.0
7.7120E-3	0.18378	300.0
8.7360E-3	0.19680	300.0
9.7600E-3	0.19795	300.0
0.010784	0.18958	300.0
0.011808	0.17543	300.0
0.012832	0.15966	300.0
0.013856	0.14577	300.0
0.014880	0.13614	300.0
0.015904	0.13198	300.0
0.016928	0.13342	300.0
0.017952	0.13977	300.0
0.018976	0.14963	300.0
0.020000	0.16104	300.0
0.021024	0.17185	300.0
0.022048	0.18010	300.0
0.023072	0.18464	300.0
0.024096	0.18517	300.0
0.025120	0.18231	300.0
0.026144	0.17737	300.0
0.027168	0.17189	300.0
0.028192	0.16718	300.0
0.029216	0.16421	300.0
0.030240	0.16348	300.0
0.031264	0.16492	300.0
0.032288	0.16806	300.0
0.033312	0.17220	300.0
0.034336	0.17648	300.0
0.035360	0.18008	300.0
0.036384	0.18246	300.0
0.037408	0.18339	300.0
0.038432	0.18292	300.0
0.039456	0.18148	300.0
0.040480	0.17960	300.0
0.042016	0.17725	300.0
0.044064	0.17668	300.0
0.046112	0.17938	300.0
0.048160	0.18331	300.0
0.050208	0.18588	300.0
0.052256	0.18608	300.0
0.054304	0.18486	300.0
0.056352	0.18389	300.0
0.058400	0.18424	300.0
0.060448	0.18579	300.0
0.062496	0.18761	300.0
0.064544	0.18881	300.0
0.066592	0.18923	300.0
0.068640	0.18929	300.0
0.070688	0.18951	300.0
0.072736	0.19006	300.0
0.074784	0.19076	300.0
0.076832	0.19139	300.0
0.078880	0.19187	300.0
0.080928	0.19230	300.0
0.082976	0.19279	300.0
0.085024	0.19343	300.0
0.087072	0.19413	300.0
0.089120	0.19470	300.0
0.091168	0.19507	300.0
0.093216	0.19527	300.0
0.095264	0.19548	300.0
0.097312	0.19581	300.0
0.099360	0.19632	300.0
0.10141	0.19696	300.0
0.10346	0.19758	300.0
0.10550	0.19809	300.0
0.10755	0.19846	300.0
