Time	Strain	Shear Stress
[s]	[1]	[Pa]
88850.12	0.09833232	100
88850.22	0.1089015	100
88850.31	0.1143129	100
88850.42	0.1180982	100
88850.51	0.1210635	100
88850.62	0.1234925	100
88850.72	0.1255971	100
88850.82	0.127414	100
88850.91	0.1290325	100
88851.02	0.1304882	100
88851.12	0.1318173	100
88851.22	0.1330391	100
88851.31	0.1341804	100
88851.42	0.1352473	100
88851.51	0.1362462	100
88851.62	0.1371791	100
88851.72	0.1380586	100
88851.82	0.1388912	100
88851.91	0.1396778	100
88852.02	0.1404309	100
88852.12	0.1411496	100
88852.22	0.1418241	100
88852.31	0.1424908	100
88852.42	0.1431236	100
88852.51	0.1437348	100
88852.62	0.1443208	100
88852.72	0.1448865	100
88852.82	0.1454309	100
88852.91	0.1459586	100
88853.02	0.1464663	100
88853.12	0.1469628	100
88853.22	0.147444	100
88853.31	0.1479156	100
88853.42	0.1483729	100
88853.51	0.148817	100
88853.62	0.1492498	100
88853.72	0.1496753	100
88853.82	0.1500934	100
88853.91	0.1504982	100
88854.02	0.1508909	100
88854.12	0.1512797	100
88854.22	0.1516581	100
88854.31	0.1520254	100
88854.42	0.1523845	100
88854.51	0.1527366	100
88854.62	0.1530818	100
88854.72	0.1534192	100
88854.82	0.1537532	100
88854.91	0.1540792	100
88855.02	0.1543996	100
88855.12	0.1547152	100
88855.22	0.1550268	100
88855.31	0.1553336	100
88855.42	0.1556349	100
88855.51	0.1559305	100
88855.62	0.1562267	100
88855.72	0.156517	100
88855.82	0.1568019	100
88855.91	0.1570847	100
88856.02	0.1573624	100
88856.12	0.1576341	100
88856.22	0.157905	100
88856.31	0.1581692	100
88856.42	0.1584321	100
88856.51	0.1586882	100
88856.62	0.1589425	100
88856.72	0.1591916	100
88856.82	0.1594386	100
88856.91	0.1596816	100
88857.02	0.1599219	100
88857.12	0.1601606	100
88857.22	0.1603949	100
88857.31	0.1606246	100
88857.42	0.1608529	100
88857.51	0.1610784	100
88857.62	0.1612996	100
88857.72	0.1615203	100
88857.82	0.1617355	100
88857.91	0.1619495	100
88858.02	0.162162	100
88858.12	0.1623714	100
88858.22	0.1625793	100
88858.31	0.1627846	100
88858.42	0.1629902	100
88858.51	0.1631898	100
88858.62	0.1633898	100
88858.72	0.1635863	100
88858.82	0.1637838	100
88858.91	0.1639766	100
88859.02	0.164168	100
88859.12	0.1643567	100
88859.22	0.1645444	100
88859.31	0.1647314	100
88859.42	0.1649152	100
88859.51	0.1650977	100
88859.62	0.1652777	100
88859.72	0.1654597	100
88859.82	0.1656358	100
88859.91	0.1658107	100
88860.02	0.1659825	100
88860.12	0.1661542	100
88860.22	0.1663236	100
88860.31	0.1664926	100
88860.42	0.1666606	100
88860.51	0.1668255	100
88860.62	0.1669887	100
88860.72	0.1671496	100
88860.82	0.1673105	100
88860.91	0.1674668	100
88861.02	0.1676244	100
88861.12	0.167781	100
88861.22	0.1679362	100
88861.31	0.1680904	100
88861.42	0.1682419	100
88861.51	0.1683937	100
88861.62	0.1685432	100
88861.72	0.1686899	100
88861.82	0.1688358	100
88861.91	0.1689813	100
88862.02	0.1691252	100
88862.12	0.1692713	100
88862.22	0.1694147	100
88862.31	0.169556	100
88862.42	0.1696957	100
88862.51	0.1698364	100
88862.62	0.1699755	100
88862.72	0.1701131	100
88862.82	0.1702486	100
88862.91	0.1703858	100
88863.02	0.1705222	100
88863.12	0.1706584	100
88863.22	0.1707929	100
88863.31	0.1709254	100
88863.42	0.1710557	100
88863.51	0.1711884	100
88863.62	0.1713179	100
88863.72	0.1714473	100
88863.82	0.1715771	100
88863.91	0.1717068	100
88864.02	0.1718356	100
88864.12	0.1719619	100
88864.22	0.1720879	100
88864.31	0.1722117	100
88864.42	0.1723367	100
88864.51	0.1724604	100
88864.62	0.1725833	100
88864.72	0.1727066	100
88864.82	0.1728262	100
88864.91	0.1729473	100
88865.02	0.1730666	100
88865.12	0.173185	100
88865.22	0.1733022	100
88865.31	0.1734202	100
88865.42	0.173537	100
88865.51	0.1736519	100
88865.62	0.1737679	100
88865.72	0.1738825	100
88865.82	0.1739965	100
88865.91	0.1741084	100
88866.02	0.1742211	100
88866.12	0.1743305	100
88866.22	0.1744423	100
88866.31	0.1745497	100
88866.42	0.1746574	100
88866.51	0.1747674	100
88866.62	0.1748742	100
88866.72	0.1749819	100
88866.82	0.1750871	100
88866.91	0.1751937	100
88867.02	0.1753012	100
88867.12	0.1754055	100
88867.22	0.1755102	100
88867.31	0.1756132	100
88867.42	0.1757158	100
88867.51	0.1758174	100
88867.62	0.1759183	100
88867.72	0.1760188	100
88867.82	0.1761178	100
88867.91	0.1762184	100
88868.02	0.1763184	100
88868.12	0.1764212	100
88868.22	0.1765209	100
88868.31	0.1766215	100
88868.42	0.1767208	100
88868.51	0.1768201	100
88868.62	0.1769184	100
88868.72	0.1770141	100
88868.82	0.1771124	100
88868.91	0.1772088	100
88869.02	0.1773052	100
88869.12	0.1774016	100
88869.22	0.1774965	100
88869.31	0.1775921	100
88869.42	0.1776869	100
88869.51	0.1777824	100
88869.62	0.1778781	100
88869.72	0.1779734	100
88869.82	0.1780673	100
88869.91	0.1781588	100
88870.02	0.1782531	100
88870.12	0.1783455	100
88870.22	0.1784368	100
88870.31	0.1785278	100
88870.42	0.1786204	100
88870.51	0.1787091	100
88870.62	0.1787999	100
88870.72	0.1788908	100
88870.82	0.1789824	100
88870.91	0.1790731	100
88871.02	0.1791612	100
88871.12	0.179251	100
88871.22	0.179339	100
88871.31	0.1794276	100
88871.42	0.1795158	100
88871.51	0.1796033	100
88871.62	0.1796906	100
88871.72	0.1797789	100
88871.82	0.1798628	100
88871.91	0.1799478	100
88872.02	0.1800348	100
88872.12	0.1801202	100
88872.22	0.180204	100
88872.31	0.1802885	100
88872.42	0.1803719	100
88872.51	0.1804558	100
88872.62	0.180539	100
88872.72	0.1806218	100
88872.82	0.1807055	100
88872.91	0.1807883	100
88873.02	0.1808697	100
88873.12	0.1809524	100
88873.22	0.1810332	100
88873.31	0.1811141	100
88873.42	0.181196	100
88873.51	0.1812772	100
88873.62	0.181358	100
88873.72	0.1814379	100
88873.82	0.1815182	100
88873.91	0.1815961	100
88874.02	0.1816752	100
88874.12	0.1817534	100
88874.22	0.1818334	100
88874.31	0.1819108	100
88874.42	0.1819882	100
88874.51	0.1820667	100
88874.62	0.1821429	100
88874.72	0.1822192	100
88874.82	0.1822964	100
88874.91	0.1823727	100
88875.02	0.1824504	100
88875.12	0.1825256	100
88875.22	0.1826027	100
88875.31	0.182676	100
88875.42	0.182752	100
88875.51	0.1828252	100
88875.62	0.1828985	100
88875.72	0.1829737	100
88875.82	0.1830465	100
88875.91	0.1831209	100
88876.02	0.1831922	100
88876.12	0.1832676	100
88876.22	0.1833398	100
88876.31	0.1834128	100
88876.42	0.1834857	100
88876.51	0.1835576	100
88876.62	0.1836311	100
88876.72	0.183704	100
88876.82	0.1837765	100
88876.91	0.1838487	100
88877.02	0.1839197	100
88877.12	0.1839925	100
88877.22	0.184062	100
88877.31	0.1841313	100
88877.42	0.1842037	100
88877.51	0.1842719	100
88877.62	0.1843409	100
88877.72	0.1844137	100
88877.82	0.184482	100
88877.91	0.1845536	100
88878.02	0.1846217	100
88878.12	0.1846932	100
88878.22	0.184761	100
88878.31	0.1848293	100
88878.42	0.1848993	100
88878.51	0.1849669	100
88878.62	0.1850359	100
88878.72	0.1851046	100
88878.82	0.1851737	100
88878.91	0.1852421	100
88879.02	0.185309	100
88879.12	0.1853761	100
88879.22	0.1854424	100
88879.31	0.1855089	100
88879.42	0.1855771	100
88879.51	0.1856439	100
88879.62	0.1857094	100
88879.72	0.1857767	100
88879.82	0.1858429	100
88879.91	0.18591	100
88880.02	0.1859753	100
88880.12	0.1860403	100
88880.22	0.1861092	100
88880.31	0.1861753	100
88880.42	0.1862411	100
88880.51	0.186308	100
88880.62	0.1863752	100
88880.72	0.1864402	100
88880.82	0.1865044	100
88880.91	0.1865682	100
88881.02	0.1866327	100
88881.12	0.1866959	100
88881.22	0.1867606	100
88881.31	0.1868232	100
88881.42	0.1868883	100
88881.51	0.1869528	100
88881.62	0.1870179	100
88881.72	0.1870827	100
88881.82	0.1871473	100
88881.91	0.1872096	100
88882.02	0.1872737	100
88882.12	0.1873374	100
88882.22	0.1874018	100
88882.31	0.1874651	100
88882.42	0.1875286	100
88882.51	0.1875911	100
88882.62	0.1876553	100
88882.72	0.1877174	100
88882.82	0.1877796	100
88882.91	0.1878429	100
88883.02	0.1879038	100
88883.12	0.1879636	100
88883.22	0.1880251	100
88883.31	0.1880856	100
88883.42	0.1881484	100
88883.51	0.1882091	100
88883.62	0.18827	100
88883.72	0.1883294	100
88883.82	0.1883905	100
88883.91	0.1884492	100
88884.02	0.1885104	100
88884.12	0.1885724	100
88884.22	0.1886317	100
88884.31	0.1886907	100
88884.42	0.1887524	100
88884.51	0.1888102	100
88884.62	0.1888689	100
88884.72	0.1889273	100
88884.82	0.1889836	100
88884.91	0.1890438	100
88885.02	0.1891015	100
88885.12	0.1891591	100
88885.22	0.1892173	100
88885.31	0.1892735	100
88885.42	0.1893319	100
88885.51	0.1893904	100
88885.62	0.1894473	100
88885.72	0.1895049	100
88885.82	0.1895631	100
88885.91	0.1896196	100
88886.02	0.1896775	100
88886.12	0.1897339	100
88886.22	0.1897899	100
88886.31	0.1898463	100
88886.42	0.1899038	100
88886.51	0.1899646	100
88886.62	0.1900225	100
88886.72	0.1900785	100
88886.82	0.1901332	100
88886.91	0.19019	100
88887.02	0.1902472	100
88887.12	0.1903033	100
88887.22	0.1903574	100
88887.31	0.1904136	100
88887.42	0.1904673	100
88887.51	0.1905244	100
88887.62	0.1905785	100
88887.72	0.190633	100
88887.82	0.1906892	100
88887.91	0.1907434	100
88888.02	0.1907999	100
88888.12	0.1908545	100
88888.22	0.1909072	100
88888.31	0.190962	100
88888.42	0.1910162	100
88888.51	0.1910717	100
88888.62	0.1911244	100
88888.72	0.1911782	100
88888.82	0.1912301	100
88888.91	0.191285	100
88889.02	0.1913377	100
88889.12	0.1913888	100
88889.22	0.1914425	100
88889.31	0.1914959	100
88889.42	0.1915508	100
88889.51	0.1916014	100
88889.62	0.1916547	100
88889.72	0.1917067	100
88889.82	0.1917601	100
88889.91	0.1918131	100
88890.02	0.1918647	100
88890.12	0.1919165	100
88890.22	0.1919678	100
88890.31	0.1920209	100
88890.42	0.1920723	100
88890.51	0.1921244	100
88890.62	0.1921756	100
88890.72	0.1922272	100
88890.82	0.1922787	100
88890.91	0.1923312	100
88891.02	0.1923826	100
88891.12	0.1924329	100
88891.22	0.1924845	100
88891.31	0.1925352	100
88891.42	0.1925858	100
88891.51	0.1926371	100
88891.62	0.1926866	100
88891.72	0.1927375	100
88891.82	0.1927887	100
88891.91	0.1928389	100
88892.02	0.1928896	100
88892.12	0.1929385	100
88892.22	0.1929904	100
88892.31	0.1930399	100
88892.42	0.1930916	100
88892.51	0.1931418	100
88892.62	0.1931901	100
88892.72	0.1932402	100
88892.82	0.1932895	100
88892.91	0.1933391	100
88893.02	0.1933889	100
88893.12	0.1934387	100
88893.22	0.1934882	100
88893.31	0.1935391	100
88893.42	0.193588	100
88893.51	0.1936378	100
88893.62	0.1936862	100
88893.72	0.1937356	100
88893.82	0.1937858	100
88893.91	0.1938339	100
88894.02	0.1938819	100
88894.12	0.1939309	100
88894.22	0.1939783	100
88894.31	0.1940272	100
88894.42	0.1940756	100
88894.51	0.1941234	100
88894.62	0.1941719	100
88894.72	0.1942194	100
88894.82	0.1942694	100
88894.91	0.1943169	100
88895.02	0.1943647	100
88895.12	0.1944126	100
88895.22	0.1944597	100
88895.31	0.1945071	100
88895.42	0.194555	100
88895.51	0.1946019	100
88895.62	0.1946507	100
88895.72	0.1946975	100
88895.82	0.1947458	100
88895.91	0.1947941	100
88896.02	0.1948406	100
88896.12	0.1948873	100
88896.22	0.1949351	100
88896.31	0.1949822	100
88896.42	0.195028	100
88896.51	0.1950741	100
88896.62	0.1951215	100
88896.72	0.195169	100
88896.82	0.1952139	100
88896.91	0.1952612	100
88897.02	0.1953073	100
88897.12	0.1953523	100
88897.22	0.1953986	100
88897.31	0.1954446	100
88897.42	0.1954899	100
88897.51	0.1955356	100
88897.62	0.1955805	100
88897.72	0.1956273	100
88897.82	0.1956729	100
88897.91	0.1957171	100
88898.02	0.1957618	100
88898.12	0.1958071	100
88898.22	0.1958531	100
88898.31	0.1958984	100
88898.42	0.1959424	100
88898.51	0.1959889	100
88898.62	0.1960336	100
88898.72	0.1960775	100
88898.82	0.1961225	100
88898.91	0.1961651	100
88899.02	0.1962104	100
88899.12	0.1962554	100
88899.22	0.1962982	100
88899.31	0.196344	100
88899.42	0.1963881	100
88899.51	0.1964327	100
88899.62	0.1964765	100
88899.72	0.1965198	100
88899.82	0.1965648	100
88899.91	0.1966072	100
88900.02	0.1966497	100
88900.12	0.1966926	100
88900.22	0.1967355	100
88900.31	0.1967795	100
88900.42	0.1968223	100
88900.51	0.1968653	100
88900.62	0.1969089	100
88900.72	0.1969511	100
88900.82	0.1969931	100
88900.91	0.1970354	100
88901.02	0.1970776	100
88901.12	0.1971206	100
88901.22	0.1971621	100
88901.31	0.1972031	100
88901.42	0.197246	100
88901.51	0.1972879	100
88901.62	0.1973306	100
88901.72	0.1973729	100
88901.82	0.1974124	100
88901.91	0.1974562	100
88902.02	0.1974969	100
88902.12	0.1975389	100
88902.22	0.1975807	100
88902.31	0.197622	100
88902.42	0.1976641	100
88902.51	0.197705	100
88902.62	0.197746	100
88902.72	0.1977874	100
88902.82	0.197828	100
88902.91	0.1978693	100
88903.02	0.1979106	100
88903.12	0.1979506	100
88903.22	0.1979934	100
88903.31	0.1980328	100
88903.42	0.1980726	100
88903.51	0.1981148	100
88903.62	0.1981543	100
88903.72	0.1981957	100
88903.82	0.1982368	100
88903.91	0.1982771	100
88904.02	0.198318	100
88904.12	0.1983589	100
88904.22	0.1983987	100
88904.31	0.1984401	100
88904.42	0.1984808	100
88904.51	0.1985213	100
88904.62	0.198561	100
88904.72	0.1986008	100
88904.82	0.1986423	100
88904.91	0.1986799	100
88905.02	0.1987197	100
88905.12	0.1987606	100
88905.22	0.1987988	100
