Time	Strain	Shear Stress
[s]	[1]	[Pa]
70280	0.0009996839	1.05943
70290	0.0009996824	1.034146
70300	0.001000085	1.009164
70310	0.0009997135	0.9859776
70320	0.0009999207	0.9628106
70330	0.0009999631	0.9402773
70340	0.00100006	0.9184206
70350	0.00100004	0.8972168
70360	0.001000121	0.87639
70370	0.001000038	0.8561249
70380	0.0009999726	0.836694
70390	0.001000002	0.8180333
70400	0.00100004	0.7994739
70410	0.000999988	0.7818512
70420	0.001000015	0.7643137
70430	0.001000003	0.7468331
70440	0.0009999798	0.7305664
70450	0.0009999753	0.7147167
70460	0.0009999975	0.6989825
70470	0.001000006	0.6836272
70480	0.0009999873	0.6691012
70490	0.0009999685	0.6550063
70500	0.0009999743	0.6403587
70510	0.001000008	0.6237934
70520	0.0009999905	0.6135731
70530	0.000999992	0.6006228
70540	0.0009999809	0.5884283
70550	0.001000043	0.5775534
70560	0.001000016	0.5626594
70570	0.001000007	0.5525352
70580	0.001000045	0.5429842
70590	0.001000058	0.5312584
70600	0.001000005	0.5202249
70610	0.001000066	0.5105961
70620	0.001000068	0.4977105
70630	0.001000016	0.4963026
70640	0.001000046	0.4854769
70650	0.001000132	0.4702331
70660	0.001000092	0.4631456
70670	0.001000076	0.4564767
70680	0.001000125	0.4479929
70690	0.001000177	0.4313811
70700	0.00100019	0.4294129
70710	0.001000193	0.4207321
70720	0.001000136	0.4112613
70730	0.001000105	0.4074862
70730.11	0.1011128	100
70730.2	0.1119995	100
70730.3	0.1177112	100
70730.41	0.1217201	100
70730.51	0.1247803	100
70730.6	0.1272901	100
70730.71	0.1294766	100
70730.81	0.1313462	100
70730.91	0.1330088	100
70731.01	0.134495	100
70731.11	0.1358443	100
70731.21	0.1370933	100
70731.3	0.1382588	100
70731.41	0.1393282	100
70731.51	0.1403141	100
70731.61	0.141243	100
70731.71	0.1421396	100
70731.81	0.1429953	100
70731.91	0.1437922	100
70732.01	0.1445343	100
70732.11	0.1452451	100
70732.2	0.1459214	100
70732.3	0.146581	100
70732.41	0.1472091	100
70732.51	0.1478138	100
70732.6	0.1483999	100
70732.71	0.1489686	100
70732.8	0.1495208	100
70732.91	0.1500486	100
70733	0.1505598	100
70733.11	0.1510549	100
70733.2	0.1515347	100
70733.3	0.151991	100
70733.41	0.1524395	100
70733.51	0.1528831	100
70733.6	0.1533093	100
70733.71	0.1537222	100
70733.8	0.1541229	100
70733.91	0.1545222	100
70734	0.1549191	100
70734.11	0.1553046	100
70734.2	0.1556725	100
70734.3	0.1560296	100
70734.41	0.1563952	100
70734.51	0.1567628	100
70734.6	0.1571118	100
70734.71	0.1574386	100
70734.8	0.1577595	100
70734.91	0.1580922	100
70735	0.1584288	100
70735.11	0.1587453	100
70735.2	0.1590402	100
70735.3	0.1593313	100
70735.41	0.1596366	100
70735.51	0.1599441	100
70735.6	0.1602342	100
70735.71	0.1604989	100
70735.8	0.1607643	100
70735.91	0.1610478	100
70736	0.1613352	100
70736.11	0.1616048	100
70736.2	0.1618551	100
70736.3	0.1621044	100
70736.41	0.1623703	100
70736.51	0.16264	100
70736.6	0.1628921	100
70736.71	0.163124	100
70736.8	0.1633584	100
70736.91	0.1636156	100
70737	0.1638695	100
70737.11	0.1641052	100
70737.2	0.1643195	100
70737.3	0.1645407	100
70737.41	0.1647762	100
70737.51	0.1650163	100
70737.6	0.1652404	100
70737.71	0.1654412	100
70737.8	0.1656463	100
70737.91	0.1658711	100
70738	0.1661025	100
70738.11	0.1663079	100
70738.2	0.1664938	100
70738.3	0.1666902	100
70738.41	0.1669074	100
70738.51	0.1671247	100
70738.6	0.1673204	100
70738.71	0.1675005	100
70738.8	0.1676866	100
70738.91	0.1678909	100
70739	0.1680953	100
70739.11	0.1682793	100
70739.2	0.168448	100
70739.3	0.1686299	100
70739.41	0.1688263	100
70739.51	0.1690221	100
70739.6	0.1691959	100
70739.71	0.1693667	100
70739.81	0.169537	100
70739.91	0.1697248	100
70740.01	0.1699133	100
70740.11	0.1700798	100
70740.21	0.1702368	100
70740.3	0.1704036	100
70740.41	0.1705859	100
70740.51	0.1707638	100
70740.61	0.1709245	100
70740.71	0.1710747	100
70740.81	0.171234	100
70740.91	0.1714055	100
70741.01	0.171581	100
70741.11	0.1717384	100
70741.21	0.1718822	100
70741.3	0.1720336	100
70741.41	0.1721963	100
70741.51	0.1723633	100
70741.61	0.1725149	100
70741.71	0.1726552	100
70741.81	0.1727999	100
70741.91	0.1729564	100
70742.01	0.1731152	100
70742.11	0.1732614	100
70742.21	0.1733973	100
70742.3	0.1735372	100
70742.41	0.1736912	100
70742.51	0.1738419	100
70742.61	0.1739806	100
70742.71	0.1741108	100
70742.81	0.1742488	100
70742.91	0.1743942	100
70743.01	0.1745393	100
70743.11	0.1746755	100
70743.21	0.1748012	100
70743.3	0.1749312	100
70743.41	0.1750749	100
70743.51	0.1752144	100
70743.61	0.1753435	100
70743.71	0.1754667	100
70743.81	0.1755961	100
70743.91	0.1757299	100
70744.01	0.1758642	100
70744.11	0.1759885	100
70744.21	0.1761124	100
70744.3	0.176238	100
70744.41	0.1763703	100
70744.51	0.1764993	100
