Time	Strain	Shear Stress
[s]	[1]	[Pa]
71330.11	0.214779	0.0000000000000000000000007965861
71330.21	0.2063716	0
71330.3	0.2017746	0
71330.41	0.198423	0
71330.51	0.1957991	0
71330.61	0.1936121	0
71330.71	0.191717	0
71330.81	0.1900474	0
71330.91	0.1885603	0
71331.01	0.1872189	0
71331.11	0.1859929	0
71331.21	0.1848591	0
71331.3	0.1837974	0
71331.41	0.1828044	0
71331.51	0.1818843	0
71331.61	0.1810112	0
71331.71	0.1801785	0
71331.81	0.1793811	0
71331.91	0.178621	0
71332.01	0.1778952	0
71332.11	0.1771985	0
71332.21	0.1765262	0
71332.3	0.1758817	0
71332.41	0.175269	0
71332.51	0.1746737	0
71332.61	0.1741	0
71332.71	0.1735287	0
71332.81	0.1729712	0
71332.91	0.1724407	0
71333.01	0.1719369	0
71333.11	0.1714399	0
71333.21	0.170942	0
71333.3	0.1704516	0
71333.41	0.1699818	0
71333.51	0.169542	0
71333.61	0.169113	0
71333.71	0.1686826	0
71333.81	0.168251	0
71333.91	0.1678253	0
71334.01	0.1674305	0
71334.11	0.167049	0
71334.21	0.1666751	0
71334.3	0.1662921	0
71334.41	0.1659066	0
71334.51	0.1655316	0
71334.61	0.1651868	0
71334.71	0.1648536	0
71334.81	0.1645107	0
71334.91	0.1641593	0
71335.01	0.1638118	0
71335.11	0.1634877	0
71335.21	0.1631781	0
71335.3	0.1628729	0
71335.41	0.1625596	0
71335.51	0.1622369	0
71335.61	0.1619265	0
71335.71	0.1616414	0
71335.81	0.1613662	0
71335.91	0.1610856	0
71336.01	0.1607879	0
71336.11	0.1604951	0
71336.21	0.1602252	0
71336.3	0.1599691	0
71336.41	0.1597131	0
71336.51	0.1594442	0
71336.61	0.1591679	0
71336.71	0.1589047	0
71336.81	0.158659	0
71336.91	0.1584193	0
71337.01	0.1581732	0
71337.11	0.1579137	0
71337.21	0.1576559	0
71337.3	0.1574191	0
71337.41	0.1571925	0
71337.51	0.1569654	0
71337.61	0.1567276	0
71337.71	0.156486	0
71337.81	0.1562501	0
71337.91	0.1560305	0
71338.01	0.1558165	0
71338.11	0.1555971	0
71338.21	0.1553717	0
71338.3	0.1551436	0
71338.41	0.1549346	0
71338.51	0.15473	0
71338.61	0.1545265	0
71338.71	0.154318	0
71338.81	0.1541062	0
71338.91	0.1538985	0
71339.01	0.1537042	0
71339.11	0.1535094	0
71339.21	0.1533141	0
71339.3	0.1531176	0
71339.41	0.1529183	0
71339.51	0.1527283	0
71339.61	0.1525446	0
71339.71	0.1523568	0
71339.81	0.152169	0
71339.91	0.1519799	0
71340.01	0.1517968	0
71340.11	0.1516191	0
71340.21	0.1514439	0
71340.3	0.151263	0
71340.41	0.1510817	0
71340.51	0.1509009	0
71340.61	0.1507239	0
71340.71	0.1505493	0
71340.81	0.150375	0
71340.91	0.150202	0
71341.01	0.1500292	0
71341.11	0.1498564	0
71341.21	0.1496897	0
71341.3	0.149521	0
71341.41	0.1493534	0
71341.51	0.1491881	0
71341.61	0.1490229	0
71341.71	0.1488603	0
71341.81	0.1486942	0
71341.91	0.1485298	0
71342.01	0.1483696	0
71342.11	0.1482131	0
71342.21	0.1480584	0
71342.3	0.1479017	0
71342.41	0.1477406	0
71342.51	0.147582	0
71342.61	0.1474301	0
71342.71	0.14728	0
71342.81	0.1471343	0
71342.91	0.1469811	0
71343.01	0.1468273	0
71343.11	0.146678	0
71343.21	0.1465344	0
71343.3	0.1463911	0
71343.41	0.1462473	0
71343.51	0.1460967	0
71343.61	0.1459493	0
71343.71	0.1458085	0
71343.81	0.1456716	0
71343.91	0.1455366	0
71344.01	0.1453931	0
71344.11	0.1452445	0
71344.21	0.1451009	0
71344.3	0.144966	0
71344.41	0.1448358	0
71344.51	0.1447012	0
71344.61	0.1445586	0
71344.71	0.1444173	0
71344.81	0.1442822	0
71344.91	0.1441557	0
71345.01	0.1440301	0
71345.11	0.1438931	0
71345.21	0.1437503	0
71345.3	0.1436116	0
71345.41	0.1434847	0
71345.51	0.1433661	0
71345.61	0.1432375	0
71345.71	0.1430991	0
71345.81	0.1429619	0
71345.91	0.1428305	0
71346.01	0.1427134	0
71346.11	0.1425925	0
71346.21	0.1424619	0
71346.3	0.1423231	0
71346.41	0.1421883	0
71346.51	0.1420701	0
71346.61	0.1419609	0
71346.71	0.1418429	0
71346.81	0.1417085	0
71346.91	0.1415752	0
71347.01	0.1414551	0
71347.11	0.1413468	0
71347.21	0.1412349	0
71347.3	0.1411108	0
71347.41	0.1409809	0
71347.51	0.1408539	0
71347.61	0.1407382	0
71347.71	0.1406354	0
71347.81	0.1405201	0
71347.91	0.1403946	0
71348.01	0.1402656	0
71348.11	0.1401469	0
71348.21	0.1400417	0
71348.3	0.1399434	0
71348.41	0.1398293	0
71348.51	0.1397035	0
71348.61	0.1395781	0
71348.71	0.139466	0
71348.81	0.1393678	0
71348.91	0.1392646	0
71349.01	0.1391497	0
71349.11	0.1390273	0
71349.21	0.1389091	0
71349.3	0.1388091	0
71349.41	0.1387168	0
71349.51	0.1386094	0
71349.61	0.1384909	0
71349.71	0.1383686	0
71349.81	0.1382637	0
71349.91	0.1381758	0
71350.01	0.1380819	0
71350.11	0.1379693	0
71350.21	0.1378491	0
71350.3	0.1377355	0
71350.41	0.1376393	0
71350.51	0.1375512	0
71350.61	0.1374522	0
71350.71	0.1373409	0
71350.81	0.1372191	0
71350.91	0.1371183	0
71351.01	0.1370303	0
71351.11	0.1369369	0
71351.21	0.1368354	0
71351.3	0.1367187	0
71351.41	0.1366049	0
71351.51	0.1365109	0
71351.61	0.1364245	0
71351.71	0.1363319	0
71351.81	0.1362233	0
71351.91	0.1361094	0
71352.01	0.1360055	0
71352.11	0.1359163	0
71352.21	0.1358314	0
71352.3	0.1357362	0
71352.41	0.1356244	0
71352.51	0.1355119	0
71352.61	0.1354184	0
71352.71	0.1353368	0
71352.81	0.1352545	0
71352.91	0.1351532	0
71353.01	0.1350393	0
71353.11	0.1349337	0
71353.21	0.1348478	0
71353.3	0.1347689	0
71353.41	0.1346799	0
71353.51	0.134573	0
71353.61	0.1344615	0
71353.71	0.1343667	0
71353.81	0.1342888	0
71353.91	0.1342107	0
71354.01	0.1341173	0
71354.11	0.1340101	0
71354.21	0.1339039	0
71354.3	0.1338199	0
71354.41	0.1337424	0
71354.51	0.1336629	0
71354.61	0.1335654	0
71354.71	0.1334597	0
71354.81	0.1333627	0
71354.91	0.1332818	0
71355.01	0.1332055	0
71355.11	0.133124	0
71355.21	0.1330214	0
71355.3	0.132918	0
71355.41	0.1328315	0
71355.51	0.132758	0
71355.61	0.1326815	0
71355.71	0.1325926	0
71355.81	0.1324895	0
71355.91	0.1323952	0
71356.01	0.1323151	0
71356.11	0.1322481	0
71356.21	0.1321718	0
71356.3	0.1320787	0
71356.41	0.1319793	0
71356.51	0.1318872	0
71356.61	0.131813	0
71356.71	0.131746	0
71356.81	0.1316624	0
71356.91	0.1315673	0
71357.01	0.1314724	0
71357.11	0.1313914	0
71357.21	0.1313263	0
71357.3	0.131257	0
71357.41	0.13117	0
71357.51	0.1310758	0
71357.61	0.1309846	0
71357.71	0.1309068	0
71357.81	0.130842	0
71357.91	0.130771	0
71358.01	0.1306828	0
71358.11	0.1305874	0
71358.21	0.1305003	0
71358.3	0.1304291	0
71358.41	0.1303668	0
71358.51	0.1302906	0
71358.61	0.1302055	0
71358.71	0.1301147	0
71358.81	0.1300321	0
71358.91	0.1299617	0
71359.01	0.1298948	0
71359.11	0.129821	0
71359.21	0.1297376	0
71359.3	0.1296446	0
71359.41	0.1295663	0
71359.51	0.1294974	0
71359.61	0.1294347	0
71359.71	0.1293611	0
71359.81	0.1292761	0
71359.91	0.1291856	0
71360.01	0.1291094	0
71360.11	0.1290397	0
71360.21	0.1289776	0
71360.3	0.1289036	0
71360.41	0.1288155	0
71360.51	0.1287299	0
71360.61	0.1286561	0
71360.71	0.1285941	0
71360.81	0.1285302	0
71360.91	0.1284538	0
71361.01	0.1283677	0
71361.11	0.1282841	0
71361.21	0.1282135	0
71361.3	0.1281514	0
71361.41	0.1280866	0
71361.51	0.1280062	0
71361.61	0.1279225	0
71361.71	0.1278443	0
71361.81	0.127777	0
71361.91	0.1277178	0
71362.01	0.1276498	0
71362.11	0.1275705	0
71362.21	0.1274874	0
71362.3	0.1274135	0
71362.41	0.1273536	0
71362.51	0.1272907	0
71362.61	0.1272198	0
71362.71	0.1271373	0
71362.81	0.1270594	0
71362.91	0.1269911	0
71363.01	0.1269308	0
71363.11	0.1268696	0
71363.21	0.1267977	0
71363.3	0.1267188	0
71363.41	0.126641	0
71363.51	0.1265745	0
71363.61	0.1265155	0
71363.71	0.1264526	0
71363.81	0.1263771	0
71363.91	0.1262975	0
71364.01	0.126224	0
71364.11	0.1261613	0
71364.21	0.1261013	0
71364.3	0.1260369	0
71364.41	0.1259647	0
71364.51	0.1258908	0
71364.61	0.1258221	0
71364.71	0.1257619	0
71364.81	0.1257029	0
71364.91	0.1256394	0
71365.01	0.1255635	0
71365.11	0.1254891	0
71365.21	0.1254211	0
71365.3	0.1253633	0
71365.41	0.1253032	0
71365.51	0.1252345	0
71365.61	0.1251594	0
71365.71	0.1250894	0
71365.81	0.1250264	0
71365.91	0.1249673	0
71366.01	0.1249114	0
71366.11	0.1248421	0
71366.21	0.124767	0
71366.3	0.1247025	0
71366.41	0.1246414	0
71366.51	0.1245863	0
71366.61	0.1245246	0
71366.71	0.1244526	0
71366.81	0.124385	0
71366.91	0.1243203	0
71367.01	0.1242606	0
71367.11	0.1242047	0
71367.21	0.1241389	0
71367.3	0.1240699	0
71367.41	0.1240008	0
71367.51	0.1239367	0
71367.61	0.1238814	0
71367.71	0.123824	0
71367.81	0.1237588	0
71367.91	0.1236932	0
71368.01	0.1236275	0
71368.11	0.1235685	0
71368.21	0.1235117	0
71368.3	0.1234544	0
71368.41	0.1233899	0
71368.51	0.1233249	0
71368.61	0.1232607	0
71368.71	0.1232025	0
71368.81	0.1231467	0
71368.91	0.1230881	0
71369.01	0.1230235	0
71369.11	0.122957	0
71369.21	0.1228971	0
71369.3	0.1228392	0
71369.41	0.1227837	0
71369.51	0.1227276	0
71369.61	0.1226622	0
71369.71	0.1225976	0
71369.81	0.122536	0
71369.91	0.1224793	0
71370.01	0.1224238	0
71370.11	0.1223654	0
71370.21	0.1223031	0
71370.3	0.1222411	0
71370.41	0.1221828	0
71370.51	0.122129	0
71370.61	0.1220733	0
71370.71	0.1220114	0
71370.81	0.1219503	0
71370.91	0.1218894	0
71371.01	0.1218316	0
71371.11	0.1217777	0
71371.21	0.1217203	0
71371.3	0.1216595	0
71371.41	0.1216021	0
71371.51	0.1215454	0
71371.61	0.1214868	0
71371.71	0.1214325	0
71371.81	0.1213775	0
71371.91	0.1213157	0
71372.01	0.121256	0
71372.11	0.1212008	0
71372.21	0.1211436	0
71372.3	0.1210873	0
71372.41	0.1210304	0
71372.51	0.1209721	0
71372.61	0.1209158	0
71372.71	0.120858	0
71372.81	0.1208042	0
71372.91	0.1207497	0
71373.01	0.1206951	0
71373.11	0.1206354	0
71373.21	0.1205739	0
71373.3	0.1205179	0
71373.41	0.1204643	0
71373.51	0.1204109	0
71373.61	0.1203546	0
71373.71	0.1202949	0
71373.81	0.1202425	0
71373.91	0.1201836	0
71374.01	0.1201272	0
71374.11	0.120069	0
71374.21	0.1200144	0
71374.3	0.1199598	0
71374.41	0.1199068	0
71374.51	0.1198543	0
71374.61	0.1198004	0
71374.71	0.1197446	0
71374.81	0.1196902	0
71374.91	0.1196364	0
71375.01	0.1195833	0
71375.11	0.1195273	0
71375.21	0.1194733	0
71375.3	0.1194177	0
71375.41	0.1193644	0
71375.51	0.119313	0
71375.61	0.119257	0
71375.71	0.1192016	0
71375.81	0.119147	0
71375.91	0.1190897	0
71376.01	0.1190366	0
71376.11	0.1189852	0
71376.21	0.118934	0
71376.3	0.1188844	0
71376.41	0.1188285	0
71376.51	0.1187762	0
71376.61	0.1187228	0
71376.71	0.1186704	0
71376.81	0.1186192	0
71376.91	0.1185656	0
71377.01	0.1185111	0
71377.11	0.1184606	0
71377.21	0.1184088	0
71377.3	0.1183602	0
71377.41	0.1183099	0
