%contrainte (Pa)	temps prise tw (s)	G' avant creep (Pa)	temps cassure 
%tb (s)    temps minimum (s)   erreur(s)   gdot_min (s-1)  g_min (s-1)
150	28800	782	446220  309965  503 6.36e-7 1.25
175	28800	792	292260  173220  384 8.87e-7 1.20
200	58980	789	158294  101054  319 1.72e-6 0.99
250	28800	788	27710   17110   217 1.36e-5 1.13
300	68400	880	13720.5   8350    101 1.91e-5 0.82
300	28800	880	14404   8812    91  3.01e-5 1.1
350	61380	780	6567    4226    70  4.10e-5 0.86
400	50520	780	2277    1148    37  1.29e-4 0.83
400	69960	737	3495    2108    49  7.28e-5 0.50
450	28800	775	1110    590 29  2.96e-4 0.96
550	48000	785	352 219 16  5.66e-4 0.83
550	60000	810	578 327 19  3.93e-4 0.83
550	28800	780	385 235 14  8.31e-4 2.88
800	28800	759	55  32.5    5   1.67e-2 2.72
1000	65610	736	24.6  13.6    4   7.87e-3 0.88
