AngularFrequency	StorageModulus	LossModulus
62.83	2.439E+2	3.51E+1
53.89	2.411E+2	3.424E+1
46.22	2.383E+2	3.344E+1
39.64	2.355E+2	3.263E+1
34	2.327E+2	3.189E+1
29.16	2.299E+2	3.128E+1
25.01	2.271E+2	3.057E+1
21.45	2.242E+2	2.999E+1
18.4	2.215E+2	2.945E+1
15.78	2.191E+2	2.872E+1
13.54	2.166E+2	2.839E+1
11.61	2.148E+2	2.725E+1
9.958	2.119E+2	2.679E+1
8.541	2.082E+2	2.73E+1
7.326	2.057E+2	2.643E+1
6.283	2.034E+2	2.567E+1
5.389	2.009E+2	2.541E+1
4.622	1.984E+2	2.519E+1
3.964	1.961E+2	2.468E+1
3.4	1.939E+2	2.431E+1
2.916	1.916E+2	2.389E+1
2.501	1.894E+2	2.367E+1
2.145	1.871E+2	2.337E+1
1.84	1.85E+2	2.309E+1
1.578	1.827E+2	2.265E+1
1.354	1.808E+2	2.246E+1
1.161	1.786E+2	2.215E+1
0.9958	1.763E+2	2.198E+1
0.8541	1.744E+2	2.18E+1
0.7326	1.727E+2	2.159E+1
0.6283	1.712E+2	2.103E+1
0.5389	1.692E+2	2.118E+1
0.4622	1.667E+2	2.096E+1
0.3964	1.652E+2	2.077E+1
0.34	1.628E+2	2.01E+1
0.2916	1.61E+2	1.99E+1
0.2501	1.591E+2	1.902E+1
0.2145	1.582E+2	1.947E+1
0.184	1.567E+2	2.008E+1
0.1578	1.549E+2	1.865E+1
0.1354	1.522E+2	1.999E+1
0.1161	1.516E+2	1.931E+1
0.09958	1.493E+2	1.881E+1
0.08541	1.482E+2	1.964E+1
0.07326	1.48E+2	1.945E+1
0.06283	1.468E+2	1.806E+1
