Angular Frequency	Storage Modulus	Loss Modulus
[1/s]	[Pa]	[Pa]
62.83	8.749E+1	6.702E0
53.89	8.75E+1	6.444E0
46.22	8.743E+1	6.221E0
39.64	8.724E+1	6.033E0
34	8.697E+1	5.862E0
29.16	8.663E+1	5.723E0
25.01	8.625E+1	5.601E0
21.45	8.585E+1	5.495E0
18.4	8.543E+1	5.397E0
15.78	8.501E+1	5.307E0
13.54	8.455E+1	5.234E0
11.61	8.408E+1	5.174E0
9.958	8.364E+1	5.1E0
8.541	8.315E+1	5.06E0
7.326	8.278E+1	5.016E0
6.283	8.22E+1	4.954E0
5.389	8.181E+1	4.926E0
4.622	8.133E+1	4.91E0
3.964	8.088E+1	4.881E0
3.4	8.04E+1	4.856E0
2.916	7.993E+1	4.862E0
2.501	7.949E+1	4.837E0
2.145	7.905E+1	4.812E0
1.84	7.857E+1	4.853E0
1.578	7.808E+1	4.767E0
1.354	7.773E+1	4.813E0
1.161	7.736E+1	4.862E0
0.9958	7.685E+1	4.798E0
0.8541	7.632E+1	4.757E0
0.7326	7.593E+1	4.867E0
0.6283	7.545E+1	4.955E0
0.5389	7.506E+1	4.858E0
0.4622	7.466E+1	4.84E0
0.3964	7.416E+1	4.852E0
0.34	7.358E+1	4.859E0
0.2916	7.338E+1	4.953E0
0.2501	7.275E+1	4.664E0
0.2145	7.251E+1	5.106E0
0.184	7.24E+1	5.14E0
0.1578	7.18E+1	4.577E0
0.1354	7.073E+1	5.086E0
0.1161	7.071E+1	5.305E0
0.09958	7.042E+1	5.308E0
0.08541	7.018E+1	5.476E0
0.07326	7.014E+1	5.171E0
0.06283	6.943E+1	4.373E0
