AngularFrequency	StorageModulus	LossModulus
62.83	5.908E+2	1.368E+2
53.89	5.782E+2	1.327E+2
46.22	5.66E+2	1.287E+2
39.64	5.543E+2	1.25E+2
34	5.427E+2	1.215E+2
29.16	5.315E+2	1.179E+2
25.01	5.207E+2	1.146E+2
21.45	5.101E+2	1.114E+2
18.4	4.998E+2	1.084E+2
15.78	4.897E+2	1.055E+2
13.54	4.8E+2	1.027E+2
11.61	4.705E+2	1.001E+2
9.958	4.611E+2	9.749E+1
8.541	4.52E+2	9.516E+1
7.326	4.435E+2	9.281E+1
6.283	4.348E+2	9.053E+1
5.389	4.262E+2	8.833E+1
4.622	4.181E+2	8.627E+1
3.964	4.101E+2	8.404E+1
3.4	4.023E+2	8.231E+1
2.916	3.947E+2	8.049E+1
2.501	3.874E+2	7.86E+1
2.145	3.796E+2	7.702E+1
1.84	3.729E+2	7.537E+1
1.578	3.661E+2	7.39E+1
1.354	3.59E+2	7.314E+1
1.161	3.523E+2	7.027E+1
0.9958	3.471E+2	6.986E+1
0.8541	3.399E+2	6.878E+1
0.7326	3.341E+2	6.709E+1
0.6283	3.285E+2	6.573E+1
0.5389	3.231E+2	6.465E+1
0.4622	3.164E+2	6.222E+1
0.3964	3.111E+2	6.202E+1
0.34	3.037E+2	6.033E+1
0.2916	2.986E+2	5.96E+1
0.2501	2.933E+2	5.805E+1
0.2145	2.905E+2	5.711E+1
0.184	2.851E+2	5.853E+1
0.1578	2.807E+2	5.46E+1
0.1354	2.753E+2	5.675E+1
0.1161	2.735E+2	5.322E+1
0.09958	2.663E+2	5.171E+1
0.08541	2.619E+2	5.538E+1
0.07326	2.613E+2	5.449E+1
0.06283	2.574E+2	4.989E+1
