B	pmB	I	pmI	D	pmD	P	pmP	M	pmM ratio
0.66	0.10	0.85	0.12	1.01	0.12	1.10	0.10	1.20	0.11	2.23
0.67	0.25	1.52	0.17	1.24	0.15	1.85	0.14    1.90	0.15	4.25
1.01	0.15	1.50	0.20	0.66	0.08	2.04	0.17    2.04    0.17	18.5
0.58	0.06	0.89	0.12	1.20	0.14	0.88	0.11    1.22    0.14	1.03
1.18	0.16	1.62	0.25	1.69	0.19	2.56	0.18    2.62    0.19	4.36
0.36	0.05	0.49	0.05	0.80	0.09	0.36	0.12	0.80	0.09	0.38
0.56	0.06	1.23	0.16	1.50	0.17	1.85	0.19    1.96    0.20	2.90
0.36	0.04	0.61	0.08	1.06	0.12	0.56	0.25    1.06    0.09	0.24
0.46	0.08	1.00	0.09	0.82	0.09	1.60	0.15    1.61    0.15	7.23

